Year,Month,day,date,value
2024,1,1,20240101,49
2024,1,2,20240102,87
2024,1,3,20240103,22
2024,1,4,20240104,26
2024,1,5,20240105,53
2024,1,6,20240106,98
2024,1,7,20240107,85
2024,1,8,20240108,52
2024,1,9,20240109,82
2024,1,10,20240110,84
2024,1,11,20240111,97
2024,1,12,20240112,90
2024,1,13,20240113,59
2024,1,14,20240114,39
2024,1,15,20240115,24
2024,1,16,20240116,83
2024,1,17,20240117,61
2024,1,18,20240118,61
2024,1,19,20240119,83
2024,1,20,20240120,62
2024,1,21,20240121,21
2024,1,22,20240122,2
2024,1,23,20240123,58
2024,1,24,20240124,62
2024,1,25,20240125,14
2024,1,26,20240126,61
2024,1,27,20240127,65
2024,1,28,20240128,79
2024,1,29,20240129,38
2024,1,30,20240130,72
2024,2,1,20240131,22
2024,2,2,20240132,73
2024,2,3,20240133,86
2024,2,4,20240134,100
2024,2,5,20240135,79
2024,2,6,20240136,44
2024,2,7,20240137,27
2024,2,8,20240138,79
2024,2,9,20240139,45
2024,2,10,20240140,83
2024,2,11,20240141,8
2024,2,12,20240142,76
2024,2,13,20240143,17
2024,2,14,20240144,8
2024,2,15,20240145,56
2024,2,16,20240146,37
2024,2,17,20240147,37
2024,2,18,20240148,56
2024,2,19,20240149,24
2024,2,20,20240150,7
2024,2,21,20240151,74
2024,2,22,20240152,10
2024,2,23,20240153,42
2024,2,24,20240154,1
2024,2,25,20240155,42
2024,2,26,20240156,79
2024,2,27,20240157,7
2024,2,28,20240158,97
2024,3,1,20240159,4
2024,3,2,20240160,90
2024,3,3,20240161,86
2024,3,4,20240162,77
2024,3,5,20240163,33
2024,3,6,20240164,40
2024,3,7,20240165,32
2024,3,8,20240166,99
2024,3,9,20240167,11
2024,3,10,20240168,49
2024,3,11,20240169,18
2024,3,12,20240170,77
2024,3,13,20240171,94
2024,3,14,20240172,84
2024,3,15,20240173,35
2024,3,16,20240174,67
2024,3,17,20240175,12
2024,3,18,20240176,85
2024,3,19,20240177,79
2024,3,20,20240178,10
2024,3,21,20240179,39
2024,3,22,20240180,44
2024,3,23,20240181,3
2024,3,24,20240182,60
2024,3,25,20240183,20
2024,3,26,20240184,51
2024,3,27,20240185,45
2024,3,28,20240186,21
2024,3,29,20240187,83
2024,3,30,20240188,28
2024,3,31,20240189,59
